etdid,title,author,advisor,university,degree,program,year
1,some aspects of radiation induced nucleation in water,chihping tso,,massachusetts institute of technology,master of science,nuclear engineering,1970
2,procedures as a representation for data in a computer program for understanding natural language,terry winograd,,massachusetts institute of technology,doctor of philosophy,mathematics,1970
3,an experimental investigation of oil spreading over water,walter suchon,,massachusetts institute of technology,bachelor of science,mechanical engineering,1970
4,digital simulation of a transportation interface,chryssostomos chryssostomidis,,massachusetts institute of technology,doctor of philosophy,naval architecture and marine engineering,1970
5,immersions of symmetric spaces,edmund francis kelly,,massachusetts institute of technology,doctor of philosophy,mathematics,1970
6,inertial gyro lifecycle costs analysis and management,peter joseph palmer,,massachusetts institute of technology,master of science,aeronautics and astronautics,1970
7,ionization in seeded detonation waves,satyaki basu,,massachusetts institute of technology,doctor of science,mechanical engineering,1959
8,ethyl alcohol as fuel for internal combustion engines,,,massachusetts institute of technology,master of science,mechanical engineering,1960
9,dynamics of the tankship industry,,,massachusetts institute of technology,master of science,naval architecture and marine engineering,1960
10,analysis of tape drives,anton keats simson,,massachusetts institute of technology,bachelor of science,mechanical engineering,1960
11,a headquarters for the world health organization in geneva switzerland,johannes philipp holschneider,,massachusetts institute of technology,master in architecture,,
12,cocommutative hopf algebras with antipode,moss eisenberg sweedler,,massachusetts institute of technology,doctor of philosophy,mathematics,1965
13,on the mechanics of twist insertion,,,massachusetts institute of technology,doctor of science,mechanical engineering fibers and polymers division,1965
14,a museum of history for boston,calvin f opitz laurence,,massachusetts institute of technology,bachelor of architecture,architecture,1965
15,buildings as systems,,eduardo f catalano,massachusetts institute of technology,master in architecture,architecture,1965
16,a building system based on growth,james robert bonar,eduardo f catalano,massachusetts institute of technology,master in architecture,architecture,1965
17,automatic generation of thermodynamic networks,gerald gruber,,massachusetts institute of technology,doctor of science,chemical engineering,1964
18,performance of hydrofoil systems,robert hamilton cannon jr,,massachusetts institute of technology,doctor of science,mechanical engineering,1950
19,an investigation of the power spectral density of atmospheric turbulence,,,massachusetts institute of technology,doctor of science,,1950
20,survey and city plan for keene nh,george nez,,massachusetts institute of technology,master in city planning,city and regional planning,1950
21,an economic background study of new bedford,charles winfred washburn,,massachusetts institute of technology,master in city planning,,1950
22,a planning program for the towns of the bridgeport,,,,,,1947
23,a proposal for the structural reorganization of the planning function in new york city,,,massachusetts institute of technology,master in city planning,city and regional planning,1950
24,stall propagation in axial compressors,alan h stenning,,massachusetts institute of technology,doctor of science,mechanical engineering,1955
25,calendering of an elasticviscous material,paul r paslay,,massachusetts institute of technology,doctor of science,mechanical engineering,1954
26,oxidation studies in metalcarbon systems,watt wetmore webb,,massachusetts institute of technology,doctor of science,metallurgy,1955
27,a critical survey of published physical planning principles,thomas a reiner,,massachusetts institute of technology,master in city planning,city and regional planning,1955
28,new ywca building pittsburgh,visvaldis paukulis,,massachusetts institute of technology,master in architecture,architecture,
29,a development study for north philadelphia airport,,,massachusetts institute of technology,master in architecture,architecture,1954
